Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
183;7;11;Luca Waldschmidt;Deutschland;10;4;0;
184;7;;Christian Streich;Deutschland;0;0;0;
185;8;1;Oliver Baumann;Deutschland;17;0;0;
186;8;12;Philipp Pentke;Deutschland;1;0;0;
187;8;;Michael Esser;Deutschland;0;0;0;
188;8;38;Stefan Posch;Österreich;14;0;0;
189;8;4;Ermin Bicakcic;Bosnien-Herzegowina;11;2;0;
190;8;21;Benjamin Hübner;Deutschland;11;1;1;
191;8;25;Kevin Akpoguma;Deutschland;10;0;0;
192;8;5;Kostas Stafylidis;Griechenland;7;1;0;
193;8;6;Havard Nordtveit;Norwegen;4;0;1;
194;8;32;Melayro Bogarde;Niederlande;0;0;0;
195;8;2;Joshua Brenet;Niederlande;0;0;0;
196;8;31;Lucas Ribeiro;Brasilien;0;0;0;
197;8;16;Sebastian Rudy;Deutschland;17;1;2;
198;8;11;Florian Grillitsch;Österreich;16;0;3;
199;8;14;Christoph Baumgartner;Österreich;10;1;1;
200;8;18;Diadie Samassekou;Mali;7;0;0;
201;8;17;Steven Zuber;Schweiz;1;0;0;
202;8;41;Ilay Eliyau Elmkies;Israel;0;0;0;
203;8;;Alfred Schreuder;Niederlande;0;0;0;
204;8;9;Ihlas Bebou;Togo;18;3;0;
205;8;29;Robert Skov;Dänemark;16;2;4;
206;8;37;Jürgen Locadia;Niederlande;11;4;0;
207;8;27;Andrej Kramaric;Kroatien;9;5;0;
208;8;19;Ishak Belfodil;Algerien;5;0;0;
209;8;10;Munas Dabbur;Israel;1;0;0;
210;8;35;Maximilian Beier;Deutschland;0;0;0;
211;8;23;Felipe Pires;Brasilien;0;0;0;
212;9;1;Koen Casteels;Belgien;10;0;0;
213;9;12;Pavao Pervan;Österreich;8;0;0;
214;9;35;Lino Kasten;Deutschland;0;0;0;
215;9;36;Phillip Menzel;Deutschland;0;0;0;
216;9;15;Jérôme Roussillon;Frankreich;16;1;1;
217;9;2;William;Brasilien;14;1;1;
218;9;32;Marcel Tisserand;Kongo DR;13;1;0;
219;9;25;John Brooks;Unbekannt;12;0;1;
220;9;31;Robin Knoche;Deutschland;11;0;0;
221;9;5;Jeffrey Bruma;Niederlande;9;0;0;
222;9;13;Yannick Gerhardt;Deutschland;9;0;0;
223;9;19;Kevin Mbabu;Schweiz;6;1;0;
224;9;6;Paulo Otávio;Brasilien;1;0;0;
225;9;;Oliver Glasner;Österreich;0;0;0;
226;9;;Marin Pongracic;Kroatien;0;0;0;
227;9;27;Maximilian Arnold;Deutschland;18;2;2;
228;9;23;Josuha Guilavogui;Frankreich;18;0;1;
229;9;40;Victor João;Brasilien;17;1;0;
230;9;7;Josip Brekalo;Kroatien;16;2;4;
231;9;11;Felix Klaus;Deutschland;14;0;0;
232;9;8;Renato Steffen;Schweiz;12;1;0;
233;9;14;Admir Mehmedi;Schweiz;10;1;1;
234;9;24;Xaver Schlager;Österreich;9;1;1;
235;9;4;Ignacio Camacho;Spanien;0;0;0;
236;9;9;Wout Weghorst;Niederlande;18;7;2;
237;9;22;Lukas Nmecha;Deutschland;6;0;0;
238;10;21;Tomas Koubek;Tschechien;18;0;0;
239;10;13;Fabian Giefer;Deutschland;0;0;0;
240;10;18;Tin Jedvaj;Kroatien;17;1;0;
241;10;31;Philipp Max;Deutschland;16;6;5;
242;10;2;Stephan Lichtsteiner;Schweiz;14;0;1;
243;10;19;Felix Ohis Uduokhai;Deutschland;13;0;0;
244;10;6;Jeffrey Gouweleeuw;Niederlande;9;0;0;
245;10;36;Reece Oxford;England;8;0;0;
246;10;22;Iago;Brasilien;6;1;0;
247;10;32;Raphael Framberger;Deutschland;5;0;0;
248;10;3;Mads Pedersen;Dänemark;2;0;1;
249;10;5;Marek Suchý;Tschechien;2;0;0;
250;10;15;Jozo Stanic;Kroatien;0;0;0;
251;10;16;Ruben Vargas;Schweiz;18;3;1;
252;10;8;Rani Khedira;Deutschland;17;0;2;
253;10;23;Marco Richter;Deutschland;14;4;2;
254;10;10;Daniel Baier;Deutschland;13;1;0;
255;10;28;Andre Hahn;Deutschland;9;1;0;
256;10;24;Fredrik Jensen;Finnland;9;1;0;
257;10;25;Carlos Gruezo;Ecuador;2;0;0;
258;10;34;Georg Teigl;Österreich;2;0;0;
259;10;;Eduard Löwen;Deutschland;1;0;0;
260;10;4;Felix Götze;Deutschland;0;0;0;
261;10;7;Florian Niederlechner;Deutschland;18;10;6;
262;10;9;Sergio Córdova;Venezuela;10;1;1;
263;10;27;Alfred Finnbogason;Island;9;2;1;
264;10;20;Julian Schieber;Deutschland;2;0;0;
265;10;;Martin Schmidt;Schweiz;0;0;0;
266;11;32;Frederik Rönnow;Dänemark;8;0;0;
267;11;1;Kevin Trapp;Deutschland;7;0;0;
268;11;29;Felix Wiedwald;Deutschland;3;0;0;
269;11;37;Jan Zimmermann;Deutschland;0;0;0;
270;11;13;Martin Hinteregger;Österreich;16;6;1;
271;11;24;Danny Da Costa;Deutschland;12;1;3;
272;11;18;Almamy Touré;Mali;10;0;2;
273;11;22;Timothy Chandler;Unbekannt;9;1;1;
274;11;19;David Abraham;Argentinien;9;1;0;
275;11;2;Evan N`Dicka;Frankreich;9;0;1;
276;11;25;Erik Durm;Deutschland;6;0;0;
277;11;23;Marco Russ;Deutschland;0;0;0;
278;11;10;Filip Kostic;Serbien;17;1;7;
279;11;8;Djibril Sow;Schweiz;16;1;2;
280;11;15;Daichi Kamada;Japan;16;0;2;
281;11;17;Sebastian Rode;Deutschland;14;2;0;
282;11;28;Dominik Kohr;Deutschland;13;0;1;
283;11;20;Makoto Hasebe;Japan;13;0;0;
